customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00089,Female,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),108.53,5519.26,No
CUST-00090,Female,0,No,No,42,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),21.41,889.64,No
CUST-00091,Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,106.33,7469.97,Yes
CUST-00092,Female,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,98.01,1775.12,No
CUST-00093,Female,1,Yes,Yes,26,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,71.03,1840.69,No
CUST-00094,Female,1,Yes,Yes,17,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),34.11,566.56,No
CUST-00095,Female,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),73.04,868.23,No
CUST-00096,Female,0,Yes,No,0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,37.59,15.22,No
CUST-00097,Female,0,Yes,No,33,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,115.46,3830.52,No
CUST-00098,Female,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,89.59,1066.96,No
CUST-00099,Female,1,Yes,No,50,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,78.22,3914.11,No
CUST-00100,Male,0,Yes,No,0,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,100.15,0.0,Yes
CUST-00101,Male,0,No,No,27,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),71.78,1950.76,No
CUST-00102,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,24.09,735.85,Yes
CUST-00103,Female,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,44.16,3145.15,Yes
CUST-00104,Female,0,No,No,54,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.15,6312.7,Yes
CUST-00105,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,103.93,2607.73,No
CUST-00106,Female,0,No,Yes,13,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,111.67,1443.2,Yes
CUST-00107,Female,0,No,No,67,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,27.88,1864.82,No
CUST-00108,Female,0,No,No,62,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,43.05,2662.65,No
CUST-00109,Female,0,No,Yes,13,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,24.39,336.68,No
CUST-00110,Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),101.04,2636.98,No
CUST-00111,Female,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,35.56,1418.29,No
CUST-00112,Male,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),59.42,110.59,No
CUST-00113,Female,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,45.22,2635.9,No
CUST-00114,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),111.97,2429.36,No
CUST-00115,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),79.45,1355.44,Yes
CUST-00116,Female,1,No,No,40,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),98.75,3940.41,No
CUST-00117,Male,1,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,78.82,574.28,No
CUST-00118,Female,0,No,No,31,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,79.87,2503.28,No
CUST-00119,Female,1,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Mailed check,56.67,2267.11,No
CUST-00120,Male,0,Yes,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.14,1850.51,No
CUST-00121,Female,0,Yes,No,8,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),53.19,426.2,No
CUST-00122,Male,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,47.78,2239.44,No
CUST-00123,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),87.81,2011.69,No
CUST-00124,Male,0,No,Yes,43,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),60.68,2611.59,No
CUST-00125,Male,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),73.57,4199.73,No
CUST-00126,Female,0,No,No,65,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,95.87,6232.88,Yes
CUST-00127,Female,0,No,Yes,17,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,44.92,766.54,No
CUST-00128,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,60.79,1695.79,No
CUST-00129,Female,1,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),70.47,61.13,No
CUST-00130,Female,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),23.43,1560.37,No
CUST-00131,Female,0,No,Yes,38,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,33.37,1275.78,No
CUST-00132,Male,0,No,Yes,72,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),24.41,1758.32,No
CUST-00133,Male,0,Yes,Yes,40,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,93.98,3761.22,No
CUST-00134,Male,0,No,No,70,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),48.29,3383.71,No
CUST-00135,Male,0,Yes,No,21,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),60.68,1273.7,No
CUST-00136,Male,0,Yes,No,48,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,85.9,4124.28,No
CUST-00137,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),115.61,3134.43,No
CUST-00138,Male,0,Yes,No,15,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),99.92,1506.57,No
CUST-00139,Male,0,No,No,67,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),23.84,1595.56,No
CUST-00140,Male,0,No,No,61,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,48.88,2976.96,No
CUST-00141,Female,0,No,No,35,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),22.96,813.87,No
CUST-00142,Male,0,No,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,24.23,512.16,Yes
CUST-00143,Female,0,Yes,Yes,10,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),30.87,305.62,No
CUST-00144,Female,1,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,50.43,2054.72,No
CUST-00145,Female,1,No,Yes,54,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,41.38,2251.46,No
CUST-00146,Male,1,Yes,No,72,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),53.57,3845.77,No
CUST-00147,Male,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,101.02,3437.52,No
CUST-00148,Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),98.57,5538.17,No
CUST-00149,Male,0,No,No,33,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,53.42,1759.45,No
CUST-00150,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,84.64,6093.63,Yes
CUST-00151,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,55.64,3847.7,No
CUST-00152,Male,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,56.98,159.01,No
CUST-00153,Male,1,No,No,45,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,86.25,3864.55,No
CUST-00154,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),56.82,564.63,No
CUST-00155,Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,73.48,4409.61,No
CUST-00156,Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),29.64,1008.45,No
CUST-00157,Male,0,Yes,No,68,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,72.42,4938.73,No
CUST-00158,Female,0,No,No,56,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.94,5195.18,Yes
CUST-00159,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),107.73,1075.86,No
CUST-00160,Female,0,No,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.87,376.64,No
CUST-00161,Male,0,No,Yes,42,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),59.48,2495.38,No
CUST-00162,Male,0,No,No,18,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,67.1,1227.67,No
CUST-00163,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,109.39,7326.79,No
CUST-00164,Female,1,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),44.0,2545.06,No
CUST-00165,Female,0,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),34.73,34.34,No
CUST-00166,Male,1,Yes,No,7,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),32.29,228.63,No
CUST-00167,Female,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,33.64,702.32,No
CUST-00168,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,105.82,2120.38,No
CUST-00169,Male,0,Yes,No,28,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),80.6,2255.31,No
CUST-00170,Female,0,Yes,No,36,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,60.49,2190.33,No
CUST-00171,Female,0,Yes,Yes,28,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,105.54,2960.2,No
CUST-00172,Male,0,No,No,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,48.1,1731.71,No
CUST-00173,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.71,2231.03,Yes
CUST-00174,Female,0,Yes,Yes,11,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),94.64,1049.07,No
